reference,setting,auditor,metric,matched_auditor_rows,tasks,candidate_minus_reference,ci_low,ci_high,resampling
static,full,pooled,W,120,20,0.1,-1.3333333333333333,1.65,"20000 paired task-cluster draws; descriptive, no multiple-testing adjustment"
static,full,pooled,S,120,20,1.4083333333333334,-1.2666666666666666,4.075,"20000 paired task-cluster draws; descriptive, no multiple-testing adjustment"
static,full,pooled,H,120,20,2.027777777777778,-0.12222222222222226,4.280555555555556,"20000 paired task-cluster draws; descriptive, no multiple-testing adjustment"
static,full,pooled,A,120,20,1.3833333333333333,-2.3833333333333333,5.133333333333334,"20000 paired task-cluster draws; descriptive, no multiple-testing adjustment"
static,full,pooled,WS,120,20,-1.3083333333333333,-3.816666666666667,1.225,"20000 paired task-cluster draws; descriptive, no multiple-testing adjustment"
static,full,pooled,WA,120,20,-1.2833333333333334,-5.458333333333333,3.091666666666667,"20000 paired task-cluster draws; descriptive, no multiple-testing adjustment"
static,full,pooled,SH,120,20,-0.6194444444444447,-2.5249999999999995,1.425,"20000 paired task-cluster draws; descriptive, no multiple-testing adjustment"
static,full,pooled,HA,120,20,0.6444444444444446,-2.9055555555555546,4.311111111111112,"20000 paired task-cluster draws; descriptive, no multiple-testing adjustment"
static,full,gpt-5.6-sol,RH,60,20,1.6666666666666667,-5.0,8.333333333333334,"20000 paired task-cluster draws; descriptive, no multiple-testing adjustment"
static,full,gpt-5.6-sol,W,60,20,0.1,-1.3333333333333333,1.65,"20000 paired task-cluster draws; descriptive, no multiple-testing adjustment"
static,full,gpt-5.6-sol,S,60,20,3.216666666666667,-0.4166666666666667,7.033333333333333,"20000 paired task-cluster draws; descriptive, no multiple-testing adjustment"
static,full,gpt-5.6-sol,H,60,20,2.3333333333333335,-0.7499999999999998,5.727777777777777,"20000 paired task-cluster draws; descriptive, no multiple-testing adjustment"
static,full,gpt-5.6-sol,A,60,20,1.2833333333333334,-2.7333333333333334,5.616666666666666,"20000 paired task-cluster draws; descriptive, no multiple-testing adjustment"
static,full,gpt-5.6-sol,WS,60,20,-3.1166666666666667,-6.7,0.43333333333333335,"20000 paired task-cluster draws; descriptive, no multiple-testing adjustment"
