setting,task_id,replicate,coverage,original_admitted,candidate_admitted,original_W,candidate_W,delta_W,original_S,candidate_S,delta_S,original_H,candidate_H,delta_H,original_A,candidate_A,delta_A,original_WS,candidate_WS,delta_WS,original_WA,candidate_WA,delta_WA,original_SH,candidate_SH,delta_SH,original_HA,candidate_HA,delta_HA
user,da-14-1,1,admitted->none,1,0,100.0,100.0,0.0,82.0,84.0,2.0,81.16666666666667,91.66666666666666,10.499999999999986,91.5,77.5,-14.0,18.0,16.0,-2.0,8.5,22.5,14.0,0.8333333333333286,-7.666666666666664,-8.499999999999993,-10.333333333333329,14.166666666666664,24.499999999999993
user,da-14-1,2,admitted->none,1,0,100.0,100.0,0.0,83.0,61.5,-21.5,83.0,67.33333333333334,-15.666666666666657,88.5,41.5,-47.0,17.0,38.5,21.5,11.5,58.5,47.0,0.0,-5.833333333333336,-5.833333333333336,-5.5,25.833333333333336,31.333333333333336
user,da-14-1,3,admitted->none,1,0,100.0,100.0,0.0,80.5,89.0,8.5,78.83333333333334,92.33333333333334,13.5,86,85,-1,19.5,11.0,-8.5,14.0,15.0,1.0,1.6666666666666643,-3.3333333333333357,-5.0,-7.166666666666664,7.333333333333336,14.5
user,da-14-3,1,admitted->none,2,0,100.0,100.0,0.0,74.0,100.0,26.0,76.0,100.0,24.0,90.5,92,1.5,26.0,0.0,-26.0,9.5,8.0,-1.5,-2.0,0.0,2.0,-14.5,8.0,22.5
user,da-14-3,2,admitted->admitted,1,1,100.0,100.0,0.0,100.0,94.5,-5.5,100.0,92.66666666666666,-7.333333333333343,89,88.5,-0.5,0.0,5.5,5.5,11.0,11.5,0.5,0.0,1.8333333333333357,1.8333333333333357,11.0,4.166666666666664,-6.833333333333336
user,da-14-3,3,admitted->none,2,0,100.0,100.0,0.0,100.0,100.0,0.0,100.0,100.0,0.0,92,90.5,-1.5,0.0,0.0,0.0,8.0,9.5,1.5,0.0,0.0,0.0,8.0,9.5,1.5
user,da-14-8,1,admitted->none,2,0,100.0,100.0,0.0,80.0,92.5,12.5,80.0,93.33333333333333,13.333333333333329,88,71,-17,20.0,7.5,-12.5,12.0,29.0,17.0,0.0,-0.8333333333333286,-0.8333333333333286,-8.0,22.33333333333333,30.33333333333333
user,da-14-8,2,admitted->admitted,2,2,93.0,100.0,7.0,64.5,77.5,13.0,68.5,80.0,11.5,69,69,0,28.5,22.5,-6.0,24.0,31.0,7.0,-4.0,-2.5,1.5,-0.5,11.0,11.5
user,da-14-8,3,none->admitted,0,1,100.0,100.0,0.0,66.5,64.5,-2.0,53.666666666666664,71.33333333333334,17.66666666666668,31,79.5,48.5,33.5,35.5,2.0,69.0,20.5,-48.5,12.833333333333336,-6.833333333333336,-19.66666666666667,22.666666666666664,-8.166666666666664,-30.83333333333333
user,da-15-1,1,admitted->none,1,0,87.0,87.0,0.0,84.5,100.0,15.5,90.5,100.0,9.5,53,71.5,18.5,2.5,-13.0,-15.5,34.0,15.5,-18.5,-6.0,0.0,6.0,37.5,28.5,-9.0
user,da-15-1,2,admitted->admitted,1,1,87.0,77.0,-10.0,100.0,71.0,-29.0,100.0,77.5,-22.5,69.5,50.5,-19.0,-13.0,6.0,19.0,17.5,26.5,9.0,0.0,-6.5,-6.5,30.5,27.0,-3.5
user,da-15-1,3,admitted->admitted,1,1,100.0,87.0,-13.0,97.5,83.5,-14.0,97.5,84.66666666666667,-12.833333333333329,38.5,59,20.5,2.5,3.5,1.0,61.5,28.0,-33.5,0.0,-1.1666666666666714,-1.1666666666666714,59.0,25.66666666666667,-33.33333333333333
user,da-15-2,1,admitted->admitted,1,1,67.0,83.0,16.0,57.0,57.0,0.0,53.83333333333333,54.16666666666667,0.3333333333333428,43.5,23,-20.5,10.0,26.0,16.0,23.5,60.0,36.5,3.166666666666668,2.833333333333332,-0.3333333333333357,10.333333333333332,31.166666666666668,20.833333333333336
user,da-15-2,2,none->none,0,0,73.0,83.0,10.0,65.0,83.0,18.0,65.0,77.83333333333333,12.833333333333329,52.5,50,-2.5,8.0,0.0,-8.0,20.5,33.0,12.5,0.0,5.166666666666671,5.166666666666671,12.5,27.83333333333333,15.333333333333329
