estimand,arm,condition,metric,n,mean,sd,se,minimum,maximum
paired RTT-static artifact deltas,Full,,S_minus_D,15,5.066666666666666,5.969765090696219,1.5413867184691243,-5.0,16.0
paired RTT-static artifact deltas,Full,,D_minus_H,15,-3.266666666666666,4.808144545274608,1.2414575833337727,-11.0,6.666666666666664
paired RTT-static artifact deltas,Full,,S_minus_H,15,1.8000000000000003,4.710339859001852,1.2162045219260778,-5.0,14.666666666666668
paired RTT-static artifact deltas,User,,S,15,-5.133333333333334,16.188032028396194,4.179731896923382,-38.5,21.0
paired RTT-static artifact deltas,User,,D,15,-7.566666666666666,18.593265549911447,4.8007605217612745,-46.0,21.0
paired RTT-static artifact deltas,User,,H,15,-6.677777777777778,17.130853381140636,4.4231673234319135,-41.0,19.0
paired RTT-static artifact deltas,User,,S_minus_D,15,2.433333333333333,6.020401821742308,1.55446106620565,-10.5,16.5
paired RTT-static artifact deltas,User,,D_minus_H,15,-0.8888888888888888,4.335469558917038,1.1194134266449935,-6.666666666666664,7.5
paired RTT-static artifact deltas,User,,S_minus_H,15,1.5444444444444445,4.805530323816685,1.2407825942557835,-5.333333333333332,11.666666666666664
paired RTT-static task-cluster deltas,Full,,S,5,-20.866666666666667,37.39102684988591,16.721775556972943,-86.66666666666667,5.333333333333333
paired RTT-static task-cluster deltas,Full,,D,5,-25.93333333333333,35.27719597070543,15.776441649215803,-88.33333333333333,-6.0
paired RTT-static task-cluster deltas,Full,,H,5,-22.666666666666664,36.182877404705536,16.181474699692547,-85.83333333333333,2.2777777777777763
paired RTT-static task-cluster deltas,Full,,S_minus_D,5,5.066666666666667,4.510173684756128,2.017010989889082,-0.16666666666666666,11.333333333333334
paired RTT-static task-cluster deltas,Full,,D_minus_H,5,-3.2666666666666666,3.9710371192509815,1.7759017879640266,-8.277777777777777,1.5
paired RTT-static task-cluster deltas,Full,,S_minus_H,5,1.8000000000000003,2.728903365868222,1.2204026860218646,-0.8333333333333318,5.833333333333332
paired RTT-static task-cluster deltas,User,,S,5,-5.133333333333333,6.561038196979364,2.9341854822837026,-11.0,6.166666666666667
paired RTT-static task-cluster deltas,User,,D,5,-7.566666666666667,8.158669553848156,3.6486679456724715,-14.333333333333334,5.5
paired RTT-static task-cluster deltas,User,,H,5,-6.677777777777779,7.337898410745393,3.2816079316828746,-14.111111111111114,5.166666666666667
paired RTT-static task-cluster deltas,User,,S_minus_D,5,2.433333333333333,3.010629317748847,1.3463943619080472,-1.1666666666666667,6.833333333333333
paired RTT-static task-cluster deltas,User,,D_minus_H,5,-0.8888888888888887,2.123138254891263,0.949496292713428,-4.611111111111112,0.5555555555555561
paired RTT-static task-cluster deltas,User,,S_minus_H,5,1.5444444444444445,1.987771256433002,0.8889583306208716,-1.6666666666666667,3.111111111111112
