scope,scope_label,detector,feature,feature_label,n,rh_positive,rh_rate,score_mean_rh_positive,score_mean_rh_negative,score_mean_difference,score_mean_difference_ci_low,score_mean_difference_ci_high,raw_point_biserial_r,raw_r_ci_low,raw_r_ci_high,adjusted_r,adjusted_r_ci_low,adjusted_r_ci_high,adjusted_risk_difference_per_10_points,adjusted_risk_difference_ci_low,adjusted_risk_difference_ci_high,within_cell_permutation_p,strata,informative_strata,detector_family_bh_q
semi,Semi feedback,three-model-majority,final_score,Final score,352,17,0.048295454545454544,86.0,82.78805970149254,3.211940298507457,-3.5612751623376675,9.843413067431495,0.02965410030343224,-0.03137874507757831,0.08639727813372695,0.02528855171035552,-0.06935796366656652,0.10212200742195196,0.003100658655065819,-0.009641095781884289,0.012809970507285716,0.7517248275172482,120,12,1.0
semi,Semi feedback,three-model-majority,score_gain,Final minus baseline score,352,17,0.048295454545454544,71.76470588235294,72.68358208955223,-0.9188762071992898,-15.604664406857621,10.542187990923379,-0.006483189773513406,-0.09194854404565458,0.07110759802190186,-0.033934247484681816,-0.14996115689844522,0.07553499481469808,-0.0026702218025545133,-0.012150450092317853,0.005539221092267219,0.6126387361263873,120,16,1.0
semi,Semi feedback,three-model-majority,mean_post_score,Mean score after baseline,352,17,0.048295454545454544,81.09411764705882,78.75373134328358,2.3403863037752473,-5.557269047430325,9.096020066068379,0.022621362041560816,-0.048160796422839366,0.08607742422128,0.007105456281591829,-0.07529516991136369,0.0745648858786666,0.0009732531849563907,-0.011235088843404135,0.010239467566271579,0.9262073792620737,120,16,1.0
semi,Semi feedback,complete-panel-any-detector,baseline_score,Baseline score,352,111,0.3153409090909091,8.756756756756756,11.016597510373444,-2.259840753616688,-6.922094327241384,2.476906319167772,-0.05084563297701449,-0.14220126830774799,0.06312095151578757,-0.045521136226923865,-0.14122811013302214,0.0655242113135008,-0.008135201014791002,-0.024869629111857576,0.013571947769110889,0.49545045495450457,120,35,0.8026355259210921
semi,Semi feedback,complete-panel-any-detector,final_score,Final score,352,111,0.3153409090909091,80.05405405405405,84.27385892116183,-4.219804867107783,-12.283778957528956,3.422970837800961,-0.08443700163864756,-0.22541011743461098,0.07289305047796256,0.09694640594406052,-0.09459405362091562,0.2840598010402042,0.021634141070572873,-0.021007350325316934,0.06702323535815792,0.1852814718528147,120,40,0.7359264073592641
semi,Semi feedback,complete-panel-any-detector,score_gain,Final minus baseline score,352,111,0.3153409090909091,71.29729729729729,73.25726141078839,-1.9599641134910968,-12.802732146542839,7.09906914136758,-0.029971121484033244,-0.17950395327846927,0.11811413340555826,0.09869642304362712,-0.050287992559862,0.24428243513123216,0.014134761063522256,-0.007248123712808378,0.036785800093178486,0.15258474152584742,120,51,0.7359264073592641
semi,Semi feedback,complete-panel-any-detector,mean_post_score,Mean score after baseline,352,111,0.3153409090909091,76.0099099099099,80.18257261410788,-4.17266270419799,-11.407901005977896,2.5463358185840828,-0.08741131003780704,-0.22483362431675102,0.056088006425255195,0.08744104226260987,-0.08428375573222226,0.2748772469549429,0.021798526154625658,-0.02128020310190807,0.07061859544462198,0.2323767623237676,120,53,0.7359264073592641
semi,Semi feedback,gpt-5.6-sol,baseline_score,Baseline score,360,108,0.3,9.074074074074074,11.015873015873016,-1.9417989417989414,-6.612991268485943,2.65652528693239,-0.04311977804468403,-0.13626844620563142,0.06512592340467044,-0.021131528116586522,-0.11745526159510977,0.07765454721491019,-0.0037566188045604146,-0.02025377291946367,0.016218969608058808,0.7434256574342566,120,33,0.9461781094617812
semi,Semi feedback,gpt-5.6-sol,final_score,Final score,360,108,0.3,80.70370370370371,82.4920634920635,-1.7883597883597844,-10.216397058823528,5.837082464945655,-0.03378554980092349,-0.17933583207668743,0.11959180311725973,0.14175529175183094,-0.052776234828867154,0.3239074585443313,0.029624807376947865,-0.010766605356360474,0.07029774319747273,0.04079592040795921,120,40,0.3020586830205868
semi,Semi feedback,gpt-5.6-sol,score_gain,Final minus baseline score,360,108,0.3,71.62962962962963,71.47619047619048,0.1534391534391517,-10.132216133027772,9.065693984772226,0.00225464836401813,-0.13726721734497951,0.14292041411056822,0.1101488151342278,-0.0286337967879343,0.24581637820283847,0.015219795460358287,-0.0039805176327618996,0.03498214600019719,0.09709029097090291,120,50,0.3020586830205868
semi,Semi feedback,gpt-5.6-sol,mean_post_score,Mean score after baseline,360,108,0.3,76.47962962962964,78.60000000000001,-2.1203703703703667,-10.025140207812395,4.538260431299736,-0.04196747481493534,-0.1818911292020597,0.0936682487444089,0.12301320528952564,-0.04913907351239044,0.3020725390847001,0.028394731096015504,-0.011460322110377013,0.07234211788091327,0.0741925807419258,120,52,0.3020586830205868
semi,Semi feedback,claude-opus-4-8,baseline_score,Baseline score,357,9,0.025210084033613446,14.555555555555555,10.278735632183908,4.276819923371647,-5.451714285714286,15.07432764900431,0.03245753111393049,-0.03635614745132905,0.12147174721880186,0.07140231709419567,0.007995657720670929,0.15843544774424223,0.005243956340317783,0.0004525998769628385,0.015581155208138476,0.03849615038496151,120,6,0.32420757924207577
semi,Semi feedback,claude-opus-4-8,final_score,Final score,357,9,0.025210084033613446,83.88888888888889,82.02011494252874,1.8687739463601503,-10.902031746031746,10.804839901477836,0.01206048518745939,-0.055220262607318486,0.06963207402413531,0.055008146113454684,-0.025222886063429383,0.1210207798382692,0.004777730745535546,-0.0019987844873186867,0.012141573663027549,0.5694430556944305,120,8,0.8391792399707397
semi,Semi feedback,claude-opus-4-8,score_gain,Final minus baseline score,357,9,0.025210084033613446,69.33333333333333,71.74137931034483,-2.408045977011497,-20.290620268620273,10.46182459467677,-0.01207857835096232,-0.08186774606915992,0.05039189723238671,-0.019413395645022022,-0.0892708014529127,0.05088160552853677,-0.0011121047128627673,-0.005808981369665347,0.00286762209865117,0.7536246375362464,120,9,0.9118128187181281
semi,Semi feedback,claude-opus-4-8,mean_post_score,Mean score after baseline,357,9,0.025210084033613446,78.33333333333333,78.05086206896551,0.282471264367814,-13.707530952380967,10.24850286543186,0.0019070893582222481,-0.07155149174581461,0.06915330748871251,0.03182694505931888,-0.04722123917454685,0.09961930725343615,0.00306439996177483,-0.004273173835978201,0.010765105871805661,0.746025397460254,120,9,0.9118128187181281
