detector,scope,outcome,feature,feature_label,unit,complete_pairs,tasks,informative_task_feedback_prompt_strata,within_stratum_sd_in_reported_units,risk_difference_per_unit,cluster_bootstrap_ci_low,cluster_bootstrap_ci_high,within_stratum_permutation_p,standardized_risk_difference,standardized_ci_low,standardized_ci_high,bh_q_within_scope_feature_family,bh_q_across_majority_scope_feature_family,bh_q_across_detector_sensitivity_family
three-model-majority,full-base,paired_difference,added_criteria,Criterion count,+1 criterion,89,30,29,1.1771863872225894,0.0,-0.025907215505661104,0.03200357142857137,1.0,0.0,-0.030497621424106246,0.03767416862822001,1.0,1.0,
three-model-majority,full-base,paired_difference,cumulative_added_chars,Character-round exposure,"+10,000 character-rounds",89,30,30,0.6872702796050943,0.002022758663680452,-0.05536408175869773,0.0755152314296654,0.9134086591340866,0.0013901819123612912,-0.038050087950379494,0.05189937421910955,1.0,1.0,
three-model-majority,full-base,paired_difference,criterion_exposure_fraction,Earlier activation,+0.1 active-round fraction,89,30,29,1.1010752214163855,-0.006152780398228632,-0.045877875676363825,0.029391270005219943,0.8315168483151685,-0.006774674039305988,-0.050514992118465704,0.03236199912870632,1.0,1.0,
three-model-majority,full-diligent,paired_difference,added_chars,Rubric length,"+1,000 characters",87,30,30,0.8663220800372995,-0.011608903099556707,-0.04237105780211728,0.0,1.0,-0.01005704908015942,-0.036706982928510885,0.0,1.0,1.0,
three-model-majority,full-diligent,paired_difference,added_criteria,Criterion count,+1 criterion,87,30,26,1.0114289425101133,-0.011235955056179778,-0.041813062150555066,0.0,1.0,-0.011364370140563074,-0.04229094123404555,0.0,1.0,1.0,
three-model-majority,full-diligent,paired_difference,cumulative_added_chars,Character-round exposure,"+10,000 character-rounds",87,30,30,0.5449682070061607,-0.01407994987919707,-0.053110086068206865,0.0,1.0,-0.007673125040402636,-0.028943308378533567,0.0,1.0,1.0,
three-model-majority,full-diligent,paired_difference,criterion_exposure_fraction,Earlier activation,+0.1 active-round fraction,87,30,30,1.0604405585108745,0.007666009466667016,0.0,0.03368592779159768,1.0,0.008129347360382021,0.0,0.03572192408127883,1.0,1.0,
three-model-majority,pooled,dynamic_only,added_chars,Rubric length,"+1,000 characters",351,30,120,1.0025108743457034,-0.009853589530944762,-0.02284956445409651,0.00043842628079941134,0.2693730626937306,-0.009878330656111102,-0.022906936839294796,0.00043952711410035275,0.32026797320267975,,
three-model-majority,pooled,dynamic_only,added_criteria,Criterion count,+1 criterion,351,30,110,1.079683749553698,-0.008146639511201632,-0.021315765436609423,0.0016314381315532234,0.32026797320267975,-0.008795794293716483,-0.02301428555120558,0.0017614372390402633,0.32026797320267975,,
three-model-majority,pooled,dynamic_only,cumulative_added_chars,Character-round exposure,"+10,000 character-rounds",351,30,120,0.6185529651440602,-0.01884950166847829,-0.044256924122105766,0.0026914649412869834,0.20557944205579443,-0.011659415148525157,-0.027375251643884206,0.0016648136200143476,0.32026797320267975,,
three-model-majority,pooled,dynamic_only,criterion_exposure_fraction,Earlier activation,+0.1 active-round fraction,351,30,118,1.0821220810123329,-0.005785110109148908,-0.01613148150444281,0.0012111816772513004,0.27917208279172084,-0.006260195390197701,-0.017456232335399613,0.001310646437071185,0.32026797320267975,,
available-two-vote-majority,pooled,paired_difference,added_chars,Rubric length,"+1,000 characters",357,30,120,1.0087589614919361,-0.012667869665902658,-0.037671467723497505,0.008778476075438997,0.3695630436956304,-0.012778827048491165,-0.03800143065863233,0.00885536640934165,0.5167483251674833,,0.808823465479539
available-two-vote-majority,pooled,paired_difference,added_criteria,Criterion count,+1 criterion,357,30,112,1.0852977234194237,-0.011097899326198968,-0.03474910320655002,0.0097647559987067,0.3875612438756124,-0.012044524873461696,-0.03771312260093533,0.010597667455142543,0.5167483251674833,,0.808823465479539
available-two-vote-majority,pooled,paired_difference,cumulative_added_chars,Character-round exposure,"+10,000 character-rounds",357,30,120,0.6213584363166611,-0.0226428910658056,-0.06779794720560044,0.01776483593369478,0.35506449355064496,-0.014069351386337463,-0.04212682646115143,0.011038330677182621,0.5167483251674833,,0.808823465479539
available-two-vote-majority,pooled,paired_difference,criterion_exposure_fraction,Earlier activation,+0.1 active-round fraction,357,30,119,1.0737781611310138,0.0018991896528377198,-0.013140893610860424,0.018516966401210425,0.8520147985201479,0.002039308373063135,-0.014110404577087994,0.019883114132016495,0.8520147985201479,,0.9863524285869285
available-two-vote-majority,base,paired_difference,added_chars,Rubric length,"+1,000 characters",180,30,60,1.1371882967311184,-0.02945899947946985,-0.06980499963634797,0.0033280432360496374,0.12188781121887811,-0.03350042944146122,-0.07938142863977489,0.0037846118190508066,0.20397960203979604,,0.808823465479539
available-two-vote-majority,base,paired_difference,added_criteria,Criterion count,+1 criterion,180,30,60,1.1879019787470309,-0.027559055118110236,-0.06567033331229091,0.004412417333797413,0.1364863513648635,-0.032737456107201635,-0.07800991888664743,0.005241519281875645,0.20397960203979604,,0.808823465479539
available-two-vote-majority,base,paired_difference,cumulative_added_chars,Character-round exposure,"+10,000 character-rounds",180,30,60,0.6954246572339011,-0.047809641514875295,-0.12008088329444244,0.0190770898394812,0.15298470152984703,-0.03324800356295784,-0.08350720710538172,0.01326667866264155,0.20397960203979604,,0.808823465479539
available-two-vote-majority,base,paired_difference,criterion_exposure_fraction,Earlier activation,+0.1 active-round fraction,180,30,59,1.1153313756473584,0.0008152239809673153,-0.022294070985347386,0.02674808159967504,0.9532046795320468,0.0009092448841529917,-0.02486527686086736,0.029832974646493357,0.9532046795320468,,0.9863524285869285
