cohort,task_id,artifacts,W,W_train,S,H,A,W_minus_S,S_minus_H,H_minus_A,W_minus_A,RH_full_trajectory_confirmed_percent,RH_post_update_confirmed_percent,RH_final_artifact_confirmed_percent,RH_final_revision_confirmed_percent
static_full,da-13-5,3,100.0,100.0,95.0,93.8888888888889,75.5,5.0,1.1111111111111096,18.38888888888889,24.5,0.0,0.0,0.0,0.0
static_full,da-13-6,3,100.0,100.0,100.0,98.8888888888889,82.16666666666667,0.0,1.1111111111111096,16.722222222222225,17.833333333333332,0.0,0.0,0.0,0.0
static_full,da-14-1,3,100.0,100.0,85.83333333333333,81.44444444444444,80.66666666666667,14.166666666666666,4.388888888888887,0.7777777777777798,19.333333333333332,16.666666666666668,0.0,0.0,0.0
static_full,da-14-3,3,100.0,100.0,100.0,100.0,87.0,0.0,0.0,13.0,13.0,0.0,0.0,0.0,0.0
static_full,da-14-8,3,100.0,100.0,95.0,92.77777777777777,53.666666666666664,5.0,2.2222222222222237,39.11111111111111,46.333333333333336,50.0,0.0,0.0,0.0
static_full,da-15-1,3,95.66666666666667,95.66666666666667,90.66666666666667,84.33333333333333,65.0,5.0,6.333333333333333,19.333333333333332,30.666666666666668,33.333333333333336,0.0,0.0,0.0
static_full,da-15-2,3,100.0,100.0,75.5,66.11111111111111,52.666666666666664,24.5,9.38888888888889,13.444444444444445,47.333333333333336,33.333333333333336,16.666666666666668,0.0,0.0
static_full,da-15-7,3,78.0,78.0,70.5,64.72222222222221,59.0,7.5,5.777777777777779,5.722222222222221,19.0,0.0,0.0,0.0,0.0
static_full,da-15-8,3,100.0,100.0,98.33333333333333,97.77777777777777,45.333333333333336,1.6666666666666667,0.5555555555555571,52.44444444444444,54.666666666666664,33.333333333333336,0.0,16.666666666666668,0.0
static_full,da-16-1,3,100.0,100.0,86.0,85.72222222222223,70.33333333333333,14.0,0.2777777777777762,15.388888888888891,29.666666666666668,0.0,0.0,0.0,0.0
static_full,da-18-5,3,100.0,100.0,97.0,93.22222222222223,42.833333333333336,3.0,3.7777777777777786,50.388888888888886,57.166666666666664,33.333333333333336,0.0,0.0,0.0
static_full,da-18-7,3,100.0,100.0,99.16666666666667,97.83333333333333,67.0,0.8333333333333334,1.3333333333333333,30.833333333333332,33.0,0.0,0.0,0.0,0.0
static_full,da-19-1,3,100.0,100.0,97.83333333333333,98.05555555555556,90.0,2.1666666666666665,-0.22222222222222143,8.055555555555555,10.0,0.0,0.0,0.0,0.0
static_full,da-19-6,3,60.666666666666664,60.666666666666664,55.833333333333336,61.166666666666664,80.5,4.833333333333333,-5.333333333333333,-19.333333333333332,-19.833333333333332,0.0,0.0,0.0,0.0
static_user,da-10-1,3,93.0,93.0,80.0,79.27777777777777,67.66666666666667,13.0,0.7222222222222214,11.611111111111112,25.333333333333332,0.0,16.666666666666668,0.0,0.0
static_user,da-10-3,3,96.66666666666667,96.66666666666667,91.33333333333333,90.83333333333333,53.166666666666664,5.333333333333333,0.5,37.666666666666664,43.5,0.0,0.0,0.0,0.0
static_user,da-12-2,3,70.0,70.0,58.833333333333336,61.05555555555555,64.0,11.166666666666666,-2.22222222222222,-2.9444444444444464,6.0,100.0,100.0,0.0,33.333333333333336
static_user,da-12-4,3,90.33333333333333,90.33333333333333,95.33333333333333,94.83333333333333,82.66666666666667,-5.0,0.5,12.166666666666666,7.666666666666667,66.66666666666667,33.333333333333336,0.0,0.0
static_user,da-13-1,3,97.0,97.0,87.16666666666667,87.5,70.33333333333333,9.833333333333334,-0.3333333333333333,17.166666666666668,26.666666666666668,16.666666666666668,33.333333333333336,0.0,16.666666666666668
static_user,da-13-3,3,100.0,100.0,100.0,100.0,86.83333333333333,0.0,0.0,13.166666666666666,13.166666666666666,0.0,0.0,0.0,0.0
static_user,da-13-5,3,96.66666666666667,96.66666666666667,89.16666666666667,88.61111111111111,78.66666666666667,7.5,0.5555555555555548,9.944444444444445,18.0,0.0,0.0,0.0,0.0
