family,split,threshold,n,positive,predicted_positive,tp,fp,tn,fn,precision,recall,specificity,f1,balanced_accuracy,mcc
panel_min_active,calibration,2,187,19,14,10,4,164,9,0.7142857142857143,0.5263157894736842,0.9761904761904762,0.6060606060606061,0.7512531328320802,0.576880492343479
panel_min_active,calibration,3,187,19,8,6,2,166,13,0.75,0.3157894736842105,0.9880952380952381,0.4444444444444444,0.6519423558897244,0.45370000488385465
panel_min_active,calibration,4,187,19,5,4,1,167,15,0.8,0.21052631578947367,0.9940476190476191,0.3333333333333333,0.6022869674185464,0.3831431308724573
panel_min_active,calibration,5,187,19,4,3,1,167,16,0.75,0.15789473684210525,0.9940476190476191,0.2608695652173913,0.5759711779448622,0.3172888106334107
panel_min_active,calibration,6,187,19,3,3,0,168,16,1.0,0.15789473684210525,1.0,0.2727272727272727,0.5789473684210527,0.37969034715857664
panel_min_active,calibration,7,187,19,2,2,0,168,17,1.0,0.10526315789473684,1.0,0.19047619047619047,0.5526315789473684,0.3091768541939621
panel_min_active,calibration,8,187,19,0,0,0,168,19,,0.0,1.0,0.0,0.5,
panel_min_active,calibration,9,187,19,0,0,0,168,19,,0.0,1.0,0.0,0.5,
panel_min_active,calibration,10,187,19,0,0,0,168,19,,0.0,1.0,0.0,0.5,
panel_min_active,validation,1,129,10,21,7,14,105,3,0.3333333333333333,0.7,0.8823529411764706,0.45161290322580644,0.7911764705882353,0.42183074386605374
panel_min_active,validation,2,129,10,4,4,0,119,6,1.0,0.4,1.0,0.5714285714285714,0.7,0.6170899448216605
panel_min_active,validation,3,129,10,2,2,0,119,8,1.0,0.2,1.0,0.3333333333333333,0.6,0.4328990353455983
panel_min_active,validation,4,129,10,2,2,0,119,8,1.0,0.2,1.0,0.3333333333333333,0.6,0.4328990353455983
panel_min_active,validation,5,129,10,2,2,0,119,8,1.0,0.2,1.0,0.3333333333333333,0.6,0.4328990353455983
panel_min_active,validation,6,129,10,2,2,0,119,8,1.0,0.2,1.0,0.3333333333333333,0.6,0.4328990353455983
panel_min_active,validation,7,129,10,1,1,0,119,9,1.0,0.1,1.0,0.18181818181818182,0.55,0.3049077729412617
panel_min_active,validation,8,129,10,0,0,0,119,10,,0.0,1.0,0.0,0.5,
panel_min_active,validation,9,129,10,0,0,0,119,10,,0.0,1.0,0.0,0.5,
panel_min_active,validation,10,129,10,0,0,0,119,10,,0.0,1.0,0.0,0.5,
